Campaign,First Tracked,Last Tracked,Impressions,CTR,Awareness,Engagement,Completion,Client
2018_Essie_GelCouture2H_4200491234_(LO,10/22/18,11/21/18,292,9.93%,36.26%,9.93%,63.01%,Wavemaker
WellsFargo_18_ENT_MissionContinues_Vide,10/16/18,11/21/18,787833,0.56%,9.59%,0.55%,61.87%,OMD-Well
2018_KitchenAid_Q4_Brand|HomeDepot|Lowes,10/12/18,11/21/18,516197,1.33%,11.36%,1.33%,75.12%,Digitas-
TH1General_4Q18DigitalVideoCampaign_,10/2/18,11/21/18,1409065,0.68%,9.94%,0.68%,27.15%,Carat-Ho
2019-Q1-Standard-Core,10/2/18,11/21/18,13,7.69%,100.00%,7.69%,46.15%,NeoWorldw
2018_Maybelline_LashSensationalSerum_4,10/2/18,11/21/18,6088772,0.22%,6.05%,0.21%,64.14%,Wavemaker
2018_Maytag_Q4_OLA_Brand_Lowes_HomeDepot,10/1/18,11/21/18,14890482,0.76%,17.18%,0.76%,77.61%,Digitas-
2018_Whirlpool_Q4_Brand|HomeDepot|Lowes|,10/1/18,11/21/18,9489447,0.45%,14.05%,0.44%,88.06%,Digitas-
2018_affresh_Q4_Digital,9/25/18,11/21/18,2200244,1.63%,22.82%,1.62%,78.81%,Digitas-
2018_Clarisonic_Mia2.0_SkinCare_LeDes,9/10/18,11/21/18,3893353,0.00%,N/A,0.00%,98.51%,Wavemaker
WellsFargo_18_BIS_SBAC_VIT_37645,8/31/18,11/21/18,18987716,0.45%,8.96%,0.45%,65.96%,OMD-Well
2018_LOP_LashParadise_Cosmetics_DDM_420,8/21/18,11/21/18,15068287,0.68%,6.50%,0.68%,72.71%,Wavemaker
2018_Maytag_Q3_Digital_Brand|HomeDepot|L,7/23/18,11/21/18,4021471,0.81%,10.90%,0.81%,62.74%,Digitas-
2018_LOP_InfallibleLipLesChocolats_42,7/20/18,11/21/18,1266654,0.17%,9.06%,0.17%,81.86%,Wavemaker
2018_LOP_Havana_4200520660_(LOI-LE2-001),7/16/18,11/21/18,1138663,0.01%,76.19%,0.01%,88.11%,Wavemaker
2018_Maybelline_LemonadeCraze_420051634,7/12/18,11/21/18,64285,0.11%,79.49%,0.11%,92.98%,Wavemaker
2018_LOP_InfallibleFaceSticks_42005206,7/10/18,11/21/18,304178,0.10%,117.39%,0.10%,79.01%,Wavemaker
2018_Maybelline_Falsies_4200510160_(LOI-,6/20/18,11/21/18,37316,0.35%,100.00%,0.35%,79.29%,Wavemaker
WellsFargo18_CBD_SCALEVIT_35931,6/12/18,11/21/18,10171672,1.06%,6.32%,1.02%,73.91%,OMD-Well
2018_LOP_Excellence_4200496750_(LOI_L13_,5/24/18,11/21/18,16479295,0.11%,4.45%,0.11%,67.82%,Wavemaker
WellsFargo18_ENT_Brand-ProgrammaticVi,5/10/18,11/21/18,93492923,0.43%,12.72%,0.42%,44.54%,OMD-Well
